"HASH (B)","USER (S)","DATE (N)","IMAGE_REF (S)","LING_ENCODED (B)"
"/GyJ4Y4CRyyp8y26b1ox7oW/0dwtHZqQEVPpmHm0EJc=","BcTm9JOPQUSRhAokEoGQRO5ONDY2","1585706745","ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/IG4wOQauQQRdQaJh8XiI","ClTSCdQJ3AneCeAJ4gnkCeYJ6AnqCewJ7gnwCfIJ9An2CfgJ+gn8Cf4JgAqCCoQKhgqICooKjAqOCpAKkgqUCpYKmAqaCpwKngqgCqIKpAqmCqgKqgoSrwESHgoO6AnpCeoJ6wnsCe0J7gkSDGl4LW9uZS1zOjEsMhIVCgr0CfUJ9gn3CfgJEgdzb2NpZXR5EhoKEvwJ/Qn+Cf8JgAqBCoIKgwqEChIEaG9zdBIzCiaMCo0KjgqPCpAKkQqSCpMKlAqVCpYKlwqYCpkKmgqbCpwKnQqeChIJZnVuZHJhaXNlIiVUaGVpciBzb2NpZXR5IGlzIGhvbGRpbmcgYSBmdW5kcmFpc2VyGgYIAxADGAM="
"09OsFnqobYZqRjUqISc8ysyQmAoXCJhw5OuwRbewyRE=","BcTm9JOPQUSRhAokEoGQRO5ONDY2","1586036430","ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/mBCJQdJ8inf7s0plxwzm","ClDyBPQE/AT+BIAFggWEBYYFiAWKBYwFjgWQBZIFlAWWBZgFmgWcBZ4FoAWiBaQFpgWoBaoFrAWuBbAFsgW0BbYFuAW6BbwFvgXABcIFxAXGBRKcARIVCg6WBZcFmAWZBZoFmwWcBRIDd293EhQKCqIFowWkBaUFpgUSBmVmZmVjdBIOCgaqBasFrAUSBHRoYXQSGQoOsAWxBbIFswW0BbUFtgUSB21hc2NhcmESFwoOuAW5BboFuwW8Bb0FvgUSBWdyZWF0IilXb3csIHRoZSBlZmZlY3Qgb2YgdGhhdCBtYXNjYXJhIGlzIGdyZWF0IRoGCAMQAxgD"
"0AlSAqHQ+46dLYlQCzeY8KJG5AAMaIRn3ukzJys1ml0=","BcTm9JOPQUSRhAokEoGQRO5ONDY2","1588956611","ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/xeY9jD8EE8PLci1vcwFH","CqYB9An6CfwJ/gmACoIKhAqGCogKigqMCo4KkAqSCpQKlgqYCpoKnAqeCqAKogqkCqYKqAqqCqwKrgqwCrIKtAq2CrgKugq8Cr4KwArCCsQKxgrICsoKzArOCtAK0grUCtYK2AraCtwK3grgCuIK5ArmCugK6grsCu4K8AryCvQK9gr4CvoK/Ar+CoALgguEC4YLiAuKC4wLjguQC5ILlAuWC5gLmgucCxK+AxJdCh6wCrEKsgqzCrQKtQq2CrcKuAq5CroKuwq8Cr0KvgoSBExJVkUaNQoSCgYIEBAEGA0SBggQEAQYDRgFEhIKBggQEAQYCxIGCBAQBBgLGAUYAyIBAioETElWRTACEjQKFsIKwwrECsUKxgrHCsgKyQrKCssKzAoSBExJS0UaFAoKCgYILhAHGAIYAhgGKgRMSUtFEjsKDtIK0wrUCtUK1grXCtgKEgRXSUxMGiMKCgoGCBQQBRgJGAISCgoGCBQQBRgCGAIYCiIBBioEV0lMTBJLCg7cCt0K3grfCuAK4QriChIDRElFGjQKEgoGCAYQAxgCEgYIBhADGAIYBRISCgYIBhACGAISBggGEAIYAhgFGAIiAQQqA0RJRTADEkMKDugK6QrqCusK7ArtCu4KEghUT01PUlJPVxonCgoKBggQEAUYBxgCEgoKBggQEAQYCxgCGAoiAQYqCFRPTU9SUk9XEisKDvIK8wr0CvUK9gr3CvgKEgJNRRoVCgoKBggCEAQYChgCGAkiAQIqAk1FIitJJ20gZ29pbmcgdG8gbGl2ZSBsaWtlIHRoZXJlJ3Mgbm8gdG9tb3Jyb3cuGgYIAhACGAI="
"0DtdnA6DaC6DFLxXTQFxmrVwvE5tSUgE7E1+lpgK1K4=","BcTm9JOPQUSRhAokEoGQRO5ONDY2","1585089119","ASLing/BcTm9JOPQUSRhAokEoGQRO5ONDY2/fvcisDSn0EdqR3YPGh3P","ChkWHiAiJCYoKiwuMDI0Njg6PD5AQkRGSEpMEm0SGAoNJCUmJygpKissLS4vMBIHcGF0aWVudBIRCgk0NTY3ODk6OzwSBHBhaW4SDgoFPj9AQUISBWEtbG90EgoKA0ZHSBIDbm93IiJUaGUgcGF0aWVudCBpcyBpbiBzbyBtdWNoIHBhaW4gbm93GgYIAxAEGAM="
"0WKQODNQYRgfPNMWMhbjkaUF33KcWsQZ54yjEO1V9R0=","rgkMm1AjrwMGoVf7ho24FaGeEfG2","1587844689","ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/mX4qg3cY6AMGS8FjF2mu","CqoBmAGaAZwBogGkAaYBqAGqAawBrgGwAbIBtAG2AbgBugG8Ab4BwAHCAcQBxgHIAcoBzAHOAdAB0gHUAdYB2AHaAdwB3gHgAeIB5AHmAegB6gHsAe4B8AHyAfQB9gH4AfoB/AH+AYACggKEAoYCiAKKAowCjgKQApIClAKWApgCmgKcAp4CoAKiAqQCpgKoAqoCrAKuArACsgK0ArYCuAK6ArwCvgLAAsICxAIS4QMSbwoq0AHRAdIB0wHUAdUB1gHXAdgB2QHaAdsB3AHdAd4B3wHgAeEB4gHjAeQBEgdBTFJJR0hUGjgKEgoGCBQQBRgCEgYIExACGAIYBRISCgYIFBAFGBMSBggUEAIYAhgDGAsiAQYqB0FMUklHSFQwARIwCgrqAesB7AHtAe4BEgJJRhoeCgoKBggcEAUYBxgCEgoKBggcEAYYBRgCGAkqAklGEiYKCvYB9wH4AfkB+gESA1lPVRoTCgoKBggCEAUYAhgCGAoqA1lPVRI1CgqCAoMChAKFAoYCEgRXQUlUGiEKEgoGCAYQBhgCEgYIBhAGGAIYBRgCIgEJKgRXQUlUMAISJQoGjAKNAo4CEgNGT1IaFgoKCgYIAhAFGAcYAhgKIgEEKgNGT1ISOQoOlAKVApYClwKYApkCmgISA0ZFVxoiCgoKBggPEAIYAhgCEgoKBggTEAUYAhgCGAYiAQcqA0ZFVxJNChKgAqECogKjAqQCpQKmAqcCqAISBk1JTlVURRovChIKBggCEAIYBxIGCAIQAxgPGAUSCgoGCAIQBRgCGAUYCiIBBioGTUlOVVRFMAEiLGlzIGl0IGFscmlnaHQgaWYgeW91IHdhaXQgZm9yIGEgZmV3IG1pbnV0ZXM/GgYIAhABGAI="
"1hWNx/WhSQUnfzONyh5pKNG4GvOJXy6u95REdOOAIC0=","xLZO3KHKoEhefIH5KxOEF3EmRek2","1585414941","ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/DXcHR34nepF2k8ziegKM","CjhgYmhqbG5wcnR2eHp8foABggGEAYYBiAGKAYwBjgGQAZIBlAGWAZgBmgGcAZ4BoAGiAaQBpgGoARKNARImChx2d3h5ent8fX5/gAGBAYIBgwGEAYUBhgGHAYgBEgZmcy1TSEUSHgoWiAGJAYoBiwGMAY0BjgGPAZABkQGSARIEVkVSWRIvCiaSAZMBlAGVAZYBlwGYAZkBmgGbAZwBnQGeAZ8BoAGhAaIBowGkARIFSEFQUFkiElNoZSBpcyB2ZXJ5IGhhcHB5LhoGCAIQAhgD"
"2FJXnaxHT71mMjs4JmX6NVXMYJ4nuckmDqXg91FrcO0=","xLZO3KHKoEhefIH5KxOEF3EmRek2","1584894942","ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/85lQwTEnZ4P8q8d7ZnZt","Ck1mbG5wcnR2eHp8foABggGEAYYBiAGKAYwBjgGQAZIBlAGWAZgBmgGcAZ4BoAGiAaQBpgGoAaoBrAGuAbABsgG0AbYBuAG6AbwBvgHAARLbARIcChR+f4ABgQGCAYMBhAGFAYYBhwGIARIEVEhBVBIrCiKIAYkBigGLAYwBjQGOAY8BkAGRAZIBkwGUAZUBlgGXAZgBEgVWSVJVUxIcChKYAZkBmgGbAZwBnQGeAZ8BoAESBkJFQ09NRRIeChKgAaEBogGjAaQBpQGmAacBqAESCG5hdGlvbmFsEiUKGqgBqQGqAasBrAGtAa4BrwGwAbEBsgGzAbQBEgdDT05DRVJOIilUaGF0IHZpcnVzIGhhcyBiZWNvbWUgYSBuYXRpb25hbCBjb25jZXJuLhoGCAIQAhgC"
"2xoX/qVL5FjuMZ8ICjz8J8JOr2CBx4I++U6ZqRTl2Dw=","rgkMm1AjrwMGoVf7ho24FaGeEfG2","1587854262","ASLing/rgkMm1AjrwMGoVf7ho24FaGeEfG2/HxZOqqHOxow3vmc3MWed","CogBpgGuAbABsgG0AbYBuAG6AbwBvgHAAcIBxAHGAcgBygHMAc4B0AHSAdQB1gHYAdoB3AHeAeAB4gHkAeYB6AHqAewB7gHwAfIB9AH2AfgB+gH8Af4BgAKCAoQChgKIAooCjAKOApACkgKUApYCmAKaApwCngKgAqICpAKmAqgCqgKsAq4CsAK0AhK0AxJFChrWAdcB2AHZAdoB2wHcAd0B3gHfAeAB4QHiARIDQ0FOGiIKCgoGCCgQBxgCGAISCgoGCCgQAxgCGAIYBCIBBioDQ0FOEicKBugB6QHqARIEVEFMSxoXCgoKBggFEAUYBhgCGAkiAQYqBFRBTEsSJgoK7gHvAfAB8QHyARIDWU9VGhMKCgoGCAIQBRgCGAIYCioDWU9VEj4KBvgB+QH6ARIGQkVGT1JFGiwKEgoGCBQQBhgTEgYIFBAGGAIYCBIKCgYIFBAGGAIYBRgOKgZCRUZPUkUwARImCgr+Af8BgAKBAoICEgNZT1UaEwoKCgYIAhAFGAIYAhgKKgNZT1USRQoKiAKJAooCiwKMAhICR08aMwoSCgYIAhAHGAISBggCEAcYAhgFEhIKBggCEAUYAhIGCAIQBRgCGAUYCiIBBioCR08wAhJEChqQApECkgKTApQClQKWApcCmAKZApoCmwKcAhIESE9NRRogCgoKBgglEAUYBhgCEgoKBgglEAUYBxgCGAMqBEhPTUUiJWNhbiBpIHRhbGsgdG8geW91IGJlZm9yZSB5b3UgZ28gaG9tZT8aBggCEAIYAg=="
"36TBy/PADD776lNK7ZISqEBJeW39H53NRMemeB4ghFY=","xLZO3KHKoEhefIH5KxOEF3EmRek2","1591378116","ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/VUC1F4nKT6GyuVt0Gp92","CpYBcnp8foABggGEAYYBiAGKAYwBjgGQAZIBlAGWAZgBmgGcAZ4BoAGiAaQBpgGoAaoBrAGuAbABsgG0AbYBuAG6AbwBvgHAAcIBxAHGAcgBygHMAc4B0AHSAdQB1gHYAdoB3AHeAeAB4gHkAeYB6AHqAewB7gHwAfIB9AH2AfgB+gH8Af4BgAKCAoQChgKIAooCjAKOApACEo0CEisKIqABoQGiAaMBpAGlAaYBpwGoAakBqgGrAawBrQGuAa8BsAESBVRPREFZEikKHrABsQGyAbMBtAG1AbYBtwG4AbkBugG7AbwBvQG+ARIHZnMtTUFMTBIwCiK+Ab8BwAHBAcIBwwHEAcUBxgHHAcgByQHKAcsBzAHNAc4BEgpJWC1PTkUtczoyEhoKEs4BzwHQAdEB0gHTAdQB1QHWARIETUFOWRI4Ci7WAdcB2AHZAdoB2wHcAd0B3gHfAeAB4QHiAeMB5AHlAeYB5wHoAekB6gHrAewBEgZQRU9QTEUiK1RoZXJlIGFyZSBzbyBtYW55IHBlb3BsZSBhdCB0aGUgbWFsbCB0b2RheS4aBggCEAIYAQ=="
"49B2Je+4z3vQRSmBrQTfTehTkIG6HAvMarC3qxD17os=","xLZO3KHKoEhefIH5KxOEF3EmRek2","1584988070","ASLing/xLZO3KHKoEhefIH5KxOEF3EmRek2/0ofpA3HCJNl7vFUJPi3f","CmjQBdgF2gXcBd4F4AXiBeQF5gXoBeoF7AXuBfAF8gX0BfYF+AX6BfwF/gWABoIGhAaGBogGigaMBo4GkAaSBpQGlgaYBpoGnAaeBqAGogakBqYGqAaqBqwGrgawBrIGtAa2BrgGuga8BhKaAhIaChL0BfUF9gX3BfgF+QX6BfsF/AUSBFRISVMSGAoO/AX9Bf4F/wWABoEGggYSBlNFQ09ORBIWCg6CBoMGhAaFBoYGhwaIBhIEVElNRRIoCh6IBokGigaLBowGjQaOBo8GkAaRBpIGkwaUBpUGlgYSBmZzLVNIRRIVCg6WBpcGmAaZBpoGmwacBhIDR09UEh4KFpwGnQaeBp8GoAahBqIGowakBqUGpgYSBExBVEUSFgoOpganBqgGqQaqBqsGrAYSBFRISVMSHwoWrAatBq4GrwawBrEGsgazBrQGtQa2BhIFTU9OVEgiMFRoaXMgaXMgdGhlIHNlY29uZCB0aW1lIHNoZSBnb3QgbGF0ZSB0aGlzIG1vbnRoLhoGCAIQAhgC"
